IMAGES,LABEL,CONFIDENCE
/home/innovation/Documents/SensorTower/CNNCode/img/04-13_23.41.47.666129_LEFT.png,SEDAN,1.0
/home/innovation/Documents/SensorTower/CNNCode/img/04-18_13.56.39.562816_RIGHT.png,TRUCK,1.0
/home/innovation/Documents/SensorTower/CNNCode/img/04-18_13.57.19.300673_RIGHT.png,SUV,1.0
/home/innovation/Documents/SensorTower/CNNCode/img/04-12_19.21.11.197123_LEFT.png,SEDAN,1.0
/home/innovation/Documents/SensorTower/CNNCode/img/04-12_19.22.58.33000_LEFT.png,SUV,1.0
/home/innovation/Documents/SensorTower/CNNCode/img/04-18_13.56.19.515135_RIGHT.png,SUV,0.9313878417015076
/home/innovation/Documents/SensorTower/CNNCode/img/04-12_19.21.40.888115_LEFT.png,SEDAN,0.9999998807907104
/home/innovation/Documents/SensorTower/CNNCode/img/04-12_19.23.38.16883_LEFT.png,SUV,1.0
/home/innovation/Documents/SensorTower/CNNCode/img/04-18_13.57.35.666616_RIGHT.png,SUV,0.9544014930725098
/home/innovation/Documents/SensorTower/CNNCode/img/04-12_19.28.60.215287_LEFT.png,SEDAN,1.0
/home/innovation/Documents/SensorTower/CNNCode/img/04-12_20.58.3.62496_RIGHT.png,TRUCK,0.9943875670433044
/home/innovation/Documents/SensorTower/CNNCode/img/04-18_13.56.46.846651_LEFT.png,SEDAN,0.9999990463256836
/home/innovation/Documents/SensorTower/CNNCode/img/04-13_23.41.57.127076_LEFT.png,SUV,1.0
/home/innovation/Documents/SensorTower/CNNCode/img/04-18_13.56.50.459661_LEFT.png,SEDAN,1.0
/home/innovation/Documents/SensorTower/CNNCode/img/04-13_23.40.27.834284_RIGHT.png,SEDAN,0.5787163376808167
/home/innovation/Documents/SensorTower/CNNCode/img/04-12_19.24.19.117925_LEFT.png,SEDAN,1.0
/home/innovation/Documents/SensorTower/CNNCode/img/04-12_19.23.59.823413_RIGHT.png,SUV,0.9999963045120239
/home/innovation/Documents/SensorTower/CNNCode/img/04-13_21.30.00.539679_LEFT.png,TRUCK,0.585541307926178
/home/innovation/Documents/SensorTower/CNNCode/img/04-13_23.40.30.825271_LEFT.png,SEDAN,0.9993277788162231
/home/innovation/Documents/SensorTower/CNNCode/img/04-18_13.56.30.966565_RIGHT.png,SUV,0.988972008228302
/home/innovation/Documents/SensorTower/CNNCode/img/04-18_13.57.41.701754_LEFT.png,SEDAN,0.999998927116394
/home/innovation/Documents/SensorTower/CNNCode/img/04-13_23.41.25.849430_RIGHT.png,SEDAN,0.9890068769454956
/home/innovation/Documents/SensorTower/CNNCode/img/04-12_19.27.30.300038_LEFT.png,SUV,1.0
/home/innovation/Documents/SensorTower/CNNCode/img/04-18_13.56.58.215336_LEFT.png,SEDAN,1.0
/home/innovation/Documents/SensorTower/CNNCode/img/04-18_13.57.10.599268_LEFT.png,SUV,1.0
/home/innovation/Documents/SensorTower/CNNCode/img/04-18_13.57.36.829438_LEFT.png,SUV,1.0
/home/innovation/Documents/SensorTower/CNNCode/img/04-12_19.29.31.135783_RIGHT.png,SUV,1.0
